variable;variable_old;item;text;info
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
age;age;NA;"Wie alt
  sind Sie (in Jahren)?";"{""ImportId"":""QID1_TEXT""}"
gender;gender;Selected Choice;Welches Geschlecht haben Sie? - Selected Choice;"{""ImportId"":""QID2""}"
gender_3_TEXT;gender_3_TEXT;ein anderes Geschlecht, und zwar – Text;Welches Geschlecht haben Sie? - ein anderes Geschlecht, und zwar – Text;"{""ImportId"":""QID2_3_TEXT""}"
edu;edu;Selected Choice;"Was ist
  der höchste Bildungsabschluss, den Sie erlangt haben? - Selected Choice";"{""ImportId"":""QID7""}"
edu_8_TEXT;edu_8_TEXT;einen anderen Bildungsabschluss, und zwar – Text;"Was ist
  der höchste Bildungsabschluss, den Sie erlangt haben? - einen anderen Bildungsabschluss, und zwar – Text";"{""ImportId"":""QID7_8_TEXT""}"
jobtype;jobtype;NA;"Was beschreibt Ihre berufliche
  Situation am besten?";"{""ImportId"":""QID8""}"
income;income;NA;"Wie hoch
  ist das durchschnittliche monatliche Nettoeinkommen Ihres Haushalts
  insgesamt?";"{""ImportId"":""QID4""}"
SD6;SD6;NA;Wie viele Personen leben in Ihrem Haushalt, Sie eingeschlossen? Denken Sie dabei auch an im Haushalt lebende Kinder.;"{""ImportId"":""QID250_TEXT""}"
SD7;SD7;NA;Sie haben angegeben, dass [QID250-ChoiceTextEntryValue] Personen in Ihrem Haushalt leben. Wie viele davon sind jünger als 14 Jahre?;"{""ImportId"":""QID251_TEXT""}"
urban;urban;NA;Wie urban wohnen Sie aktuell?;"{""ImportId"":""QID321""}"
SD8;SD8;NA;In welchem Kreis oder Bezirk leben Sie aktuell?;"{""ImportId"":""QID249""}"
sm1_i;SM1_1;Instagram;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - Instagram;"{""ImportId"":""QID311_1""}"
sm1_f;SM1_2;Facebook;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - Facebook;"{""ImportId"":""QID311_2""}"
sm1_y;SM1_3;Youtube;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - Youtube;"{""ImportId"":""QID311_3""}"
sm1_t;SM1_4;TikTok;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - TikTok;"{""ImportId"":""QID311_4""}"
sm1_l;SM1_5;LinkedIn;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - LinkedIn;"{""ImportId"":""QID311_5""}"
sm1_x;SM1_6;Twitter / X;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - Twitter / X;"{""ImportId"":""QID311_7""}"
sm1_s;SM1_7;Sonstige (bitte angeben);Wie oft nutzen Sie die folgenden sozialen Netzwerke? - Sonstige (bitte angeben);"{""ImportId"":""QID311_6""}"
sm1_s_text;SM1_7_TEXT;Sonstige (bitte angeben) – Text;Wie oft nutzen Sie die folgenden sozialen Netzwerke? - Sonstige (bitte angeben) – Text;"{""ImportId"":""QID311_6_TEXT""}"
sm2_1;SM2_1;... als Informationsquelle;"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - ... als Informationsquelle";"{""ImportId"":""QID312_1""}"
sm2_2;SM2_2;... zu Unterhaltungszwecken;"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - ... zu Unterhaltungszwecken";"{""ImportId"":""QID312_2""}"
sm2_3;SM2_3;... als Verbindung zu Freunden und Familie;"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - ... als Verbindung zu Freunden und Familie";"{""ImportId"":""QID312_3""}"
sm2_4;SM2_4;... im Rahmen von sozialem Engagement;"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - ... im Rahmen von sozialem Engagement";"{""ImportId"":""QID312_4""}"
sm2_5;SM2_5;... für Aktivismus;"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - ... für Aktivismus";"{""ImportId"":""QID312_5""}"
sm2_6;SM2_6;Sonstiges (bitte angeben);"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - Sonstiges (bitte angeben)";"{""ImportId"":""QID312_6""}"
sm2_6_text;SM2_6_TEXT;Sonstiges (bitte angeben) – Text;"Inwiefern stimmen Sie den folgenden Aussagen zu ihrem Onlineverhalten zu?

Ich nutze Social Media hauptsächlich... - Sonstiges (bitte angeben) – Text";"{""ImportId"":""QID312_6_TEXT""}"
sm3;SM3;NA;Social Media beeinflusst mich in meiner Meinungsbildung.;"{""ImportId"":""QID313""}"
ccs1;CCS1;NA;"Was
  beschreibt Ihre Ernährungsform am besten?";"{""ImportId"":""QID151""}"
ccs2;CCS2;NA;Wenn es um das Thema Autobesitz geht, was trifft am ehesten auf Sie zu?;"{""ImportId"":""QID152""}"
ccs3;CCS3;NA;Was schätzen Sie: Wie viele km haben Sie im letzten Jahr privat mit dem Auto zurückgelegt?;"{""ImportId"":""QID153""}"
ccs4;CCS4;NA;Und wie viele km haben Sie im letzten Jahr beruflich mit dem Auto zurückgelegt?;"{""ImportId"":""QID252""}"
freq_transport_1;freq_transport_1;Auto (PKW);Welche Verkehrsmittel nutzen Sie wie häufig? - Auto (PKW);"{""ImportId"":""QID319_1""}"
freq_transport_2;freq_transport_2;Roller, Mofa, Motorrad;Welche Verkehrsmittel nutzen Sie wie häufig? - Roller, Mofa, Motorrad;"{""ImportId"":""QID319_2""}"
freq_transport_3;freq_transport_3;Fahrrad;Welche Verkehrsmittel nutzen Sie wie häufig? - Fahrrad;"{""ImportId"":""QID319_3""}"
freq_transport_4;freq_transport_4;Lastenfahrrad;Welche Verkehrsmittel nutzen Sie wie häufig? - Lastenfahrrad;"{""ImportId"":""QID319_4""}"
freq_transport_5;freq_transport_5;Bus / Straßenbahn;Welche Verkehrsmittel nutzen Sie wie häufig? - Bus / Straßenbahn;"{""ImportId"":""QID319_5""}"
freq_transport_6;freq_transport_6;Bahn (S-Bahn, Regionalbahn, Fernverkehr);Welche Verkehrsmittel nutzen Sie wie häufig? - Bahn (S-Bahn, Regionalbahn, Fernverkehr);"{""ImportId"":""QID319_6""}"
freq_transport_7;freq_transport_7;Taxi;Welche Verkehrsmittel nutzen Sie wie häufig? - Taxi;"{""ImportId"":""QID319_7""}"
like_transport_1;like_transport_1;Auto;"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Auto";"{""ImportId"":""QID320_1""}"
like_transport_2;like_transport_2;Roller, Mofa, Motorrad;"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Roller, Mofa, Motorrad";"{""ImportId"":""QID320_2""}"
like_transport_3;like_transport_3;Fahrrad;"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Fahrrad";"{""ImportId"":""QID320_3""}"
like_transport_4;like_transport_4;Lastenfahrrad;"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Lastenfahrrad";"{""ImportId"":""QID320_4""}"
like_transport_5;like_transport_5;Bus / Straßenbahn;"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Bus / Straßenbahn";"{""ImportId"":""QID320_5""}"
like_transport_6;like_transport_6;Bahn (S-Bahn, Regionalbahn, Fernferkehr);"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Bahn (S-Bahn, Regionalbahn, Fernferkehr)";"{""ImportId"":""QID320_6""}"
like_transport_7;like_transport_7;Taxi;"Angenommen, Ihnen würden alle der folgenden Verkehrsmittel zur freien Verfügung stehen.
Bitte bilden Sie eine Rangfolge, welche Verkehrsmittel Sie am liebsten wählen würden. - Taxi";"{""ImportId"":""QID320_7""}"
erase;BFE1;NA;Ich bin eher ruhig.;"{""ImportId"":""QID156""}"
erase;BFA1;NA;Ich bin einfühlsam, warmherzig.;"{""ImportId"":""QID157""}"
erase;BFC1;NA;Ich bin eher unordentlich.;"{""ImportId"":""QID158""}"
erase;BFN1;NA;"Ich
  mache mir oft Sorgen.";"{""ImportId"":""QID159""}"
erase;BFO1;NA;"Ich kann mich für Kunst, Musik
  und Literatur begeistern.";"{""ImportId"":""QID160""}"
erase;BFE2;NA;"Ich
  neige dazu, die Führung zu übernehmen.";"{""ImportId"":""QID161""}"
erase;BFA2;NA;"Ich bin manchmal unhöflich und
  schroff.";"{""ImportId"":""QID162""}"
erase;BFC2;NA;"Ich
  neige dazu, Aufgaben vor mir herzuschieben.";"{""ImportId"":""QID163""}"
erase;BFN2;NA;"Ich bin oft deprimiert,
  niedergeschlagen.";"{""ImportId"":""QID164""}"
erase;BFO2;NA;"Mich
  interessieren abstrakte Überlegungen wenig.";"{""ImportId"":""QID165""}"
erase;BFA3;NA;"Ich
  schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.";"{""ImportId"":""QID254""}"
erase;BFE3;NA;"Ich bin voller Energie und
  Tatendrang.";"{""ImportId"":""QID253""}"
erase;BFC3;NA;"Ich bin verlässlich, auf mich
  kann man zählen.";"{""ImportId"":""QID255""}"
erase;BFN3;NA;"Ich bin
  ausgeglichen, nicht leicht aus der Ruhe zu bringen.";"{""ImportId"":""QID256""}"
erase;BFO3;NA;"Ich bin originell, entwickle
  neue Ideen.";"{""ImportId"":""QID257""}"
erase;IC1;NA;"Ich habe
  mein Leben selbst in der Hand.";"{""ImportId"":""QID237""}"
erase;IC2;NA;"Wenn ich mich anstrenge, werde
  ich auch Erfolg haben.";"{""ImportId"":""QID238""}"
erase;EC1;NA;"Egal ob
  privat oder im Beruf: Mein Leben wird zum großen Teil von anderen bestimmt.";"{""ImportId"":""QID239""}"
erase;EC2;NA;"Meine Pläne werden oft vom
  Schicksal durchkreuzt.";"{""ImportId"":""QID240""}"
ccbi1;CCBI1;NA;"Ich plane, den Konsum tierischer Produkte wie
  Fleisch, Milch oder Eier (weiterhin) zu vermeiden.";"{""ImportId"":""QID75""}"
ccbi5;CCBI5;NA;Ich plane, (weiterhin) bewusst im Haushalt Ressourcen in Form von Wasser einzusparen.;"{""ImportId"":""QID307""}"
ccbi2;CCBI2;NA;"Ich plane, (weiterhin) bewusst im Haushalt
  Energie in Form von Strom und Wärme einzusparen.";"{""ImportId"":""QID76""}"
ccbi3;CCBI3;NA;Ich plane, (weiterhin) Fahrten mit dem Auto zu vermeiden.;"{""ImportId"":""QID77""}"
ccbi4;CCBI4;NA;"Allgemein plane ich, (weiterhin) Maßnahmen zum Klimaschutz zu
  ergreifen.";"{""ImportId"":""QID261""}"
ccbi5;CCBI6;NA;Ich plane, Wertstoffe (Papier, Glas, Aluminium usw.) immer zu entsprechenden Recycling-Vorrichtungen zu bringen.;"{""ImportId"":""QID309""}"
ccskn;CCSKN;NA;Wie schätzen Sie Ihren Wissensstand über den Klimawandel ein?;"{""ImportId"":""QID285""}"
cckn1;CCKN1;NA;Der heutige weltweite CO2-Wert in der Atmosphäre ist in den letzten 650.000 Jahren bereits vorgekommen.;"{""ImportId"":""QID144""}"
cckn2;CCKN2;NA;Trotz seiner sehr geringen Konzentration in der Atmosphäre trägt Lachgas zum anthropogenen Treibhauseffekt etwa 6 % bei, da seine Wirkung als Treibhausgas 298-mal stärker ist als die von CO2.;"{""ImportId"":""QID91""}"
cckn3;CCKN3;NA;CO2 verweilt in der Regel zwischen 10 und 20 Jahren in der Atmosphäre.;"{""ImportId"":""QID92""}"
cckn4;CCKN4;NA;Die Erde befindet sich etwa seit 1850, also etwa seit dem Beginn der industriellen Revolution, in einer Phase der Wiedererwärmung aus der kleinen Eiszeit.;"{""ImportId"":""QID141""}"
cckn5;CCKN5;NA;"Das Ozonloch ist
  eine der wesentlichen Ursachen der globalen Erwärmung.";"{""ImportId"":""QID272""}"
cckn6;CCKN6;NA;"Große
  Vulkanausbrüche verstärken die globale Erwärmung maßgeblich.";"{""ImportId"":""QID273""}"
ccdi1;CCDI1;NA;"Wissenschaftler*innen,
  die den Klimawandel erforschen, sind mehr an ihrem eigenen Fortkommen interessiert
  als am Wohlergehen der Menschen.";"{""ImportId"":""QID58""}"
ccdi2;CCDI2;NA;"Die Klimaforschung handelt
  im Interesse der Menschheit.";"{""ImportId"":""QID59""}"
ccdi3;CCDI3;NA;"Die
  Klimaforschung interessiert sich nicht für das Wohlergehen der Menschheit";"{""ImportId"":""QID60""}"
ccdi4;CCDI4;NA;"Wenn es um das Thema
  Klimawandel geht, sind Wissenschaftler*innen grundsätzlich kompetent.";"{""ImportId"":""QID177""}"
ccdi5;CCDI5;NA;"Es ist
  fraglich, wie gut Wissenschaftler*innen darin sind, den Klimawandel zu
  erforschen.";"{""ImportId"":""QID176""}"
ccdi6;CCDI6;NA;"Die wissenschaftlichen Theorien
  und Empfehlungen zum Thema Klimawandel sind zweifelhaft.";"{""ImportId"":""QID175""}"
ccdi7;CCDI7;NA;"Wissenschaftler*innen,
  die den Klimawandel erforschen, ignorieren Ergebnisse, die ihrer eigenen Arbeit
  widersprechen.";"{""ImportId"":""QID174""}"
ccdi8;CCDI8;NA;"Wissenschaftliche Forschung zum
  Klimawandel ist oft voreingenommen.";"{""ImportId"":""QID173""}"
ccdi9;CCDI9;NA;"In Bezug auf den
  Klimawandel ist die Wissenschaft ehrlich.";"{""ImportId"":""QID172""}"
cctb1;CCTB1;NA;"Im Laufe
  meines Lebens werde ich von den negativen Folgen des Klimawandels betroffen sein.";"{""ImportId"":""QID94""}"
cctb2;CCTB2;NA;"Der Klimawandel hat auf mein
  eigenes Leben keinen Einfluss.";"{""ImportId"":""QID95""}"
cctb3;CCTB3;NA;"Die
  negativen Auswirkungen des Klimawandels können mir gefährlich werden.";"{""ImportId"":""QID96""}"
cctb4;CCTB4;NA;"Der Klimawandel ist eine der
  größten Herausforderungen der Menschheit.";"{""ImportId"":""QID183""}"
cctb5;CCTB5;NA;"Der
  Klimawandel hat weitreichende negative Auswirkungen.";"{""ImportId"":""QID182""}"
cctb6;CCTB6;NA;"Es macht mir Angst, an den
  Klimawandel zu denken.";"{""ImportId"":""QID181""}"
ccrb1;CCRB1;NA;"Ich bin in der Lage, den Konsum
  tierischer Produkte wie Fleisch, Milch oder Eier zu vermeiden.";"{""ImportId"":""QID190""}"
ccrb2;CCRB2;NA;Ich bin in der Lage, bewusst weniger zu heizen.;"{""ImportId"":""QID193""}"
ccrb3;CCRB3;NA;"Ich bin in der Lage, Fahrten mit
  dem Auto zu vermeiden.";"{""ImportId"":""QID241""}"
ccrb4;CCRB4;NA;"Den Konsum tierischer Produkte zu
  vermeiden ist wirksam.";"{""ImportId"":""QID191""}"
ccrb5;CCRB5;NA;"Weniger zu heizen ist
  wirksam.";"{""ImportId"":""QID194""}"
ccrb6;CCRB6;NA;"Autofahren zu vermeiden ist
  wirksam.";"{""ImportId"":""QID242""}"
ccrb7;CCRB7;NA;"Wenn ich den Konsum tierischer
  Produkte vermeide, ist das für mich mit hohen zeitlichen, finanziellen
  und/oder emotionalen Kosten verbunden.";"{""ImportId"":""QID192""}"
ccrb8;CCRB8;NA;"Weniger zu heizen ist für
  mich mit hohen zeitlichen, finanziellen und/oder emotionalen Kosten
  verbunden.";"{""ImportId"":""QID195""}"
ccrb9;CCRB9;NA;"Wenn ich Autofahren vermeide, ist
  das für mich mit hohen zeitlichen, finanziellen und/oder emotionalen Kosten
  verbunden.";"{""ImportId"":""QID243""}"
ccrb10;CCRB10;NA;"Ich bin in der Lage, Maßnahmen für
  den Klimaschutz zu ergreifen.";"{""ImportId"":""QID105""}"
ccrb11;CCRB11;NA;"Klimaschutzmaßnahmen durch
  Einzelpersonen sind wirksam.";"{""ImportId"":""QID106""}"
ccrb12;CCRB12;NA;"Klimaschutzmaßnahmen sind für mich
  mit hohen zeitlichen, finanziellen und/oder emotionalen Kosten verbunden.";"{""ImportId"":""QID107""}"
ccpn1;CCPN1;NA;"Ich habe eine moralische
  Verpflichtung, etwas gegen den Klimawandel zu tun.";"{""ImportId"":""QID119""}"
ccpn2;CCPN2;NA;Ich finde, dass ich zum Klimaschutz beitragen sollte.;"{""ImportId"":""QID120""}"
ccpn3;CCPN3;NA;Ich finde es wichtig, dass alle Menschen das Klima schützen.;"{""ImportId"":""QID125""}"
erase;CCIN1;NA;"Meine
  Freund*innen finden, ich sollte mich klimafreundlich verhalten.";"{""ImportId"":""QID121""}"
erase;CCIN2;NA;Meine Familie findet, ich sollte mich klimafreundlich verhalten.;"{""ImportId"":""QID123""}"
erase;CCIN3;NA;Meine Kolleg*innen finden, ich sollte mich klimafreundlich verhalten.;"{""ImportId"":""QID196""}"
erase;CCIN4;NA;Menschen, die mir wichtig sind, finden, dass ich mich klimafreundlich verhalten sollte.;"{""ImportId"":""QID298""}"
erase;CCDN1;NA;Meine Freunde ergreifen Maßnahmen zum Klimaschutz.;"{""ImportId"":""QID295""}"
erase;CCDN2;NA;Meine Familie ergreift Maßnahmen zum Klimaschutz.;"{""ImportId"":""QID296""}"
erase;CCDN3;NA;Meine Kolleg*innen ergreifen Maßnahmen zum Klimaschutz.;"{""ImportId"":""QID297""}"
erase;CCDN4;NA;Die Menschen, die mir wichtig sind, ergreifen Maßnahmen zum Klimaschutz.;"{""ImportId"":""QID300""}"
erase;orientation1_1;SPD;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - SPD;"{""ImportId"":""QID314_1""}"
erase;orientation1_2;CDU / CSU;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - CDU / CSU;"{""ImportId"":""QID314_2""}"
erase;orientation1_3;Bündnis 90 / Grüne;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - Bündnis 90 / Grüne;"{""ImportId"":""QID314_3""}"
erase;orientation1_4;FDP;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - FDP;"{""ImportId"":""QID314_4""}"
erase;orientation1_5;AfD;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - AfD;"{""ImportId"":""QID314_5""}"
erase;orientation1_6;Die Linke;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - Die Linke;"{""ImportId"":""QID314_6""}"
erase;orientation1_7;SSW;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - SSW;"{""ImportId"":""QID314_7""}"
erase;orientation1_8;Andere:;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - Andere:;"{""ImportId"":""QID314_8""}"
erase;orientation1_8_TEXT;Andere: – Text;Wie stark sind Ihre Sympathien für die verschiedenen Parteien, die aktuell im Bundestag vertreten sind? - Andere: – Text;"{""ImportId"":""QID314_8_TEXT""}"
erase;orientation2_1;Wir brauchen einen radikalen politischen Wandel, um die Klimakrise zu bewältigen.;Bitte bewerten Sie die folgenden Aussagen: - Wir brauchen einen radikalen politischen Wandel, um die Klimakrise zu bewältigen.;"{""ImportId"":""QID315_1""}"
erase;orientation2_2;Politik sollte konsequent an Nachhaltigkeits- und Klimazielen ausgerichtet werden.;Bitte bewerten Sie die folgenden Aussagen: - Politik sollte konsequent an Nachhaltigkeits- und Klimazielen ausgerichtet werden.;"{""ImportId"":""QID315_2""}"
erase;orientation2_3;Politisches Umdenken ist notwendig, um die erforderlichen Veränderungen umzusetzen.;Bitte bewerten Sie die folgenden Aussagen: - Politisches Umdenken ist notwendig, um die erforderlichen Veränderungen umzusetzen.;"{""ImportId"":""QID315_3""}"
erase;orientation2_4;Es ist wichtig, nachhaltig zu produzieren, auch auf Kosten der Wirtschaft;Bitte bewerten Sie die folgenden Aussagen: - Es ist wichtig, nachhaltig zu produzieren, auch auf Kosten der Wirtschaft;"{""ImportId"":""QID315_4""}"
erase;activism1;NA;Haben Sie in den letzten 24 Monaten an Demonstrationen oder Protesten für den Klimaschutz teilgenommen?;"{""ImportId"":""QID316""}"
erase;activism2;NA;Sind Sie in einer Klimaschutzbewegung aktiv, z.B. Fridays for Future?;"{""ImportId"":""QID317""}"
sciencescepticism_1;sciencescepticism_1;Wissenschaft und Technik werden viele Umweltprobleme lösen, ohne dass wir unsere Lebensweise ändern müssen;Bitte bewerten Sie die folgenden Aussagen - Wissenschaft und Technik werden viele Umweltprobleme lösen, ohne dass wir unsere Lebensweise ändern müssen;"{""ImportId"":""QID318_1""}"
sciencescepticism_2;sciencescepticism_2;Wir vertrauen zu sehr der Wissenschaft und der Technik und zu wenig unseren Gefühlen;Bitte bewerten Sie die folgenden Aussagen - Wir vertrauen zu sehr der Wissenschaft und der Technik und zu wenig unseren Gefühlen;"{""ImportId"":""QID318_2""}"
sciencescepticism_3;sciencescepticism_3;Das meiste, was Wissenschaft und Technik hervorgebracht haben, schadet der Umwelt;Bitte bewerten Sie die folgenden Aussagen - Das meiste, was Wissenschaft und Technik hervorgebracht haben, schadet der Umwelt;"{""ImportId"":""QID318_3""}"
Anmerkungen;Anmerkungen;NA;Haben Sie weitere Anmerkungen?;"{""ImportId"":""QID134_TEXT""}"